state,state_code,deaths_during_POSTVAX,cov_trust_science_W1W2,consci_predicted,deaths_per_100K_in_POSTVAX_year,Vaccination rate,Party 1976,Party 2020
Alabama,AL,9110,3.333653,0.476551,180.7584,0.344593,D,R
Alaska,AK,947,3.278239,0.512416,129.2527,0.497992,R,R
Arizona,AZ,13332,3.421141,0.552903,183.2246,0.434226,R,D
Arkansas,AR,5858,3.397152,0.474758,193.5959,0.391424,D,R
California,CA,32229,3.536357,0.569572,82.13756,0.521066,R,D
Colorado,CO,6574,3.43117,0.545935,113.1095,0.493309,R,D
Connecticut,CT,3055,3.479084,0.548183,84.72938,0.607215,R,D
Delaware,DE,1397,3.587598,0.510717,139.2288,0.487291,D,D
District of Columbia,DC,278,3.541822,0.505587,41.48944,0.487806,D,D
Florida,FL,41126,3.431598,0.54682,188.8148,0.47101,D,R
Georgia,GA,18241,3.426868,0.497434,168.9049,0.38454,D,D
Hawaii,HI,988,3.415966,0.583214,68.5372,0.509735,D,D
Idaho,ID,2978,3.386558,0.508113,156.6607,0.394478,R,R
Illinois,IL,14556,3.43326,0.533552,114.8722,0.481733,R,D
Indiana,IN,10661,3.489451,0.503253,156.6415,0.454417,R,R
Iowa,IA,3845,3.466612,0.501895,120.4167,0.512371,R,R
Kansas,KS,4046,3.475598,0.509001,137.8731,0.460202,R,R
Kentucky,KY,9794,3.444778,0.483834,217.191,0.437414,D,R
Louisiana,LA,7185,3.355605,0.487437,155.3834,0.39671,D,R
Maine,ME,1603,3.510916,0.496759,116.8157,0.556624,R,D
Maryland,MD,6311,3.513143,0.509777,102.3661,0.506986,D,D
Massachusetts,MA,3409,3.577453,0.564644,48.80652,0.558932,D,D
Michigan,MI,19245,3.513727,0.50947,191.4771,0.510825,R,D
Minnesota,MN,6017,3.471417,0.52946,105.4247,0.487709,D,D
Mississippi,MS,5435,3.32882,0.443637,184.2395,0.374666,D,R
Missouri,MO,11776,3.391284,0.502038,190.9151,0.38209,D,R
Montana,MT,1964,3.47962,0.484565,177.8549,0.460904,R,R
Nebraska,NE,2006,3.507491,0.508041,102.1545,0.446082,R,R
Nevada,NV,5634,3.516235,0.533645,179.199,0.435779,R,D
New Hampshire,NH,1299,3.578281,0.522584,93.52106,0.545047,R,D
New Jersey,NJ,9174,3.507488,0.548401,98.99505,0.490367,R,D
New Mexico,NM,3854,3.533363,0.534657,182.1467,0.476911,R,D
New York,NY,18537,3.497627,0.548474,93.45171,0.524528,D,D
North Carolina,NC,12517,3.356602,0.50262,118.6315,0.451426,D,R
North Dakota,ND,832,3.440662,0.496465,107.362,0.492703,R,R
Ohio,OH,20019,3.455519,0.508432,169.9403,0.472162,D,R
Oklahoma,OK,9467,3.372024,0.494187,237.4682,0.313394,R,R
Oregon,OR,5239,3.464215,0.5281,123.3822,0.45406,R,D
Pennsylvania,PA,20034,3.425661,0.526273,154.535,0.43148,D,D
Rhode Island,RI,960,3.549503,0.544555,87.62242,0.477088,D,D
South Carolina,SC,8759,3.381204,0.49445,168.7439,0.467307,D,R
South Dakota,SD,992,3.443005,0.484717,110.7914,0.433744,R,R
Tennessee,TN,14409,3.410433,0.491785,206.5742,0.440648,D,R
Texas,TX,40029,3.446479,0.546701,135.5631,0.44191,D,R
Utah,UT,2655,3.499966,0.52192,79.53924,0.459497,R,R
Vermont,VT,434,3.572673,0.486633,67.22741,0.481543,R,D
Virginia,VA,10137,3.447272,0.511118,117.2955,0.428309,R,D
Washington,WA,7658,3.576736,0.539611,98.95729,0.456138,R,D
West Virginia,WV,4272,3.389805,0.480819,239.6017,0.432538,D,R
Wisconsin,WI,7284,3.481521,0.515362,123.5433,0.48954,D,D
Wyoming,WY,1120,3.314972,0.488037,193.5028,0.319526,R,R
